nr,page_start,page_end,filename
867,2209,2209,0867_Table 301.3.2001.163.1_ Summary and Results of TESAEs - General Disorders And Administration Site Conditions (SOC).xlsx
868,2210,2210,0868_Table 301.3.2001.164.1_ Summary and Results of TESAEs - Pyrexia (PT).xlsx
869,2211,2211,0869_Table 301.3.2001.165.1_ Summary and Results of TESAEs - Hepatobiliary Disorders (SOC).xlsx
870,2212,2212,0870_Table 301.3.2001.166.1_ Summary and Results of TESAEs - Infections And Infestations (SOC).xlsx
871,2213,2213,0871_Table 301.3.2001.167.1_ Summary and Results of TESAEs - Pneumonia (PT).xlsx
872,2214,2214,"0872_Table 301.3.2001.168.1_ Summary and Results of TESAEs - Injury, Poisoning And Procedural Complications (SOC).xlsx"
873,2215,2215,0873_Table 301.3.2001.169.1_ Summary and Results of TESAEs - Investigations (SOC).xlsx
874,2216,2216,0874_Table 301.3.2001.170.1_ Summary and Results of TESAEs - Metabolism And Nutrition Disorders (SOC).xlsx
875,2217,2217,"0875_Table 301.3.2001.171.1_ Summary and Results of TESAEs - Neoplasms Benign, Malignant And Unspecified (Incl Cysts And Polyps) (SOC).xlsx"
876,2218,2218,0876_Table 301.3.2001.172.1_ Summary and Results of TESAEs - Malignant Neoplasm Progression (PT).xlsx
877,2219,2219,0877_Table 301.3.2001.173.1_ Summary and Results of TESAEs - Nervous System Disorders (SOC).xlsx
878,2220,2220,0878_Table 301.3.2001.174.1_ Summary and Results of TESAEs - Renal And Urinary Disorders (SOC).xlsx
879,2221,2221,"0879_Table 301.3.2001.175.1_ Summary and Results of TESAEs - Respiratory, Thoracic And Mediastinal Disorders (SOC).xlsx"
880,2222,2222,0880_Table 301.3.2001.176.1_ Summary and Results of TESAEs - Pulmonary Embolism (PT).xlsx
881,2223,2223,0881_Table 301.3.2001.177.1_ Summary and Results of TESAEs - Vascular Disorders (SOC).xlsx
882,2249,2254,0882_Table 301.3.2000.5_ Frequency Summary of (Permanent) Treatment Discontinuation due to Treatment Emergent Adverse Event - Safety Analysis Set.xlsx
883,2256,2256,0883_Table 301.3.2001.217.1_ Summary and Results of TEAEs - Abdominal Pain (AESI).xlsx
884,2257,2257,0884_Table 301.3.2001.217.2_ Summary and Results of TEAEs by Subgroups - Abdominal Pain (AESI).xlsx
885,2258,2258,0885_Table 301.3.2001.218.1_ Summary and Results of TEAEs - Anemia (AESI).xlsx
886,2259,2259,0886_Table 301.3.2001.218.2_ Summary and Results of TEAEs by Subgroups - Anemia (AESI).xlsx
887,2260,2260,0887_Table 301.3.2001.219.1_ Summary and Results of TEAEs - Hypersensitivity Reactions (AESI).xlsx
888,2261,2261,0888_Table 301.3.2001.219.2_ Summary and Results of TEAEs by Subgroups - Hypersensitivity Reactions (AESI).xlsx
889,2262,2262,0889_Table 301.3.2001.220.1_ Summary and Results of TEAEs - Infusion Related Reaction (AESI).xlsx
890,2263,2263,0890_Table 301.3.2001.220.2_ Summary and Results of TEAEs by Subgroups - Infusion Related Reaction (AESI).xlsx
891,2264,2264,0891_Table 301.3.2001.221.1_ Summary and Results of TEAEs - Nausea (AESI).xlsx
892,2265,2265,0892_Table 301.3.2001.221.2_ Summary and Results of TEAEs by Subgroups - Nausea (AESI).xlsx
893,2266,2266,0893_Table 301.3.2001.222.1_ Summary and Results of TEAEs - Neutropenia (AESI).xlsx
894,2267,2267,0894_Table 301.3.2001.222.2_ Summary and Results of TEAEs by Subgroups - Neutropenia (AESI).xlsx
895,2268,2268,0895_Table 301.3.2001.223.1_ Summary and Results of TEAEs - Vomiting (AESI).xlsx
896,2269,2269,0896_Table 301.3.2001.223.2_ Summary and Results of TEAEs by Subgroups - Vomiting (AESI).xlsx
897,2270,2270,0897_Table 301.3.2001.224.1_ Summary and Results of Non-Severe TEAEs - Abdominal Pain (AESI).xlsx
898,2271,2271,0898_Table 301.3.2001.224.2_ Summary and Results of Non-Severe TEAEs by Subgroups - Abdominal Pain (AESI).xlsx
899,2272,2272,0899_Table 301.3.2001.225.1_ Summary and Results of Non-Severe TEAEs - Anemia (AESI).xlsx
900,2273,2273,0900_Table 301.3.2001.225.2_ Summary and Results of Non-Severe TEAEs by Subgroups - Anemia (AESI).xlsx
901,2274,2274,0901_Table 301.3.2001.226.1_ Summary and Results of Non-Severe TEAEs - Hypersensitivity Reactions (AESI).xlsx
902,2275,2275,0902_Table 301.3.2001.226.2_ Summary and Results of Non-Severe TEAEs by Subgroups - Hypersensitivity Reactions (AESI).xlsx
903,2276,2276,0903_Table 301.3.2001.227.1_ Summary and Results of Non-Severe TEAEs - Infusion Related Reaction (AESI).xlsx
904,2277,2277,0904_Table 301.3.2001.227.2_ Summary and Results of Non-Severe TEAEs by Subgroups - Infusion Related Reaction (AESI).xlsx
905,2278,2278,0905_Table 301.3.2001.228.1_ Summary and Results of Non-Severe TEAEs - Nausea (AESI).xlsx
906,2279,2279,0906_Table 301.3.2001.228.2_ Summary and Results of Non-Severe TEAEs by Subgroups - Nausea (AESI).xlsx
907,2280,2280,0907_Table 301.3.2001.229.1_ Summary and Results of Non-Severe TEAEs - Neutropenia (AESI).xlsx
908,2281,2281,0908_Table 301.3.2001.229.2_ Summary and Results of Non-Severe TEAEs by Subgroups - Neutropenia (AESI).xlsx
909,2282,2282,0909_Table 301.3.2001.230.1_ Summary and Results of Non-Severe TEAEs - Vomiting (AESI).xlsx
910,2283,2283,0910_Table 301.3.2001.230.2_ Summary and Results of Non-Severe TEAEs by Subgroups - Vomiting (AESI).xlsx
911,2284,2284,0911_Table 301.3.2001.231.1_ Summary and Results of Severe TEAEs - Abdominal Pain (AESI).xlsx
912,2285,2285,0912_Table 301.3.2001.231.2_ Summary and Results of Severe TEAEs by Subgroups - Abdominal Pain (AESI).xlsx
913,2286,2286,0913_Table 301.3.2001.232.1_ Summary and Results of Severe TEAEs - Anemia (AESI).xlsx
914,2287,2287,0914_Table 301.3.2001.232.2_ Summary and Results of Severe TEAEs by Subgroups - Anemia (AESI).xlsx
915,2288,2288,0915_Table 301.3.2001.233.1_ Summary and Results of Severe TEAEs - Hypersensitivity Reactions (AESI).xlsx
916,2289,2289,0916_Table 301.3.2001.233.2_ Summary and Results of Severe TEAEs by Subgroups - Hypersensitivity Reactions (AESI).xlsx
917,2290,2290,0917_Table 301.3.2001.234.1_ Summary and Results of Severe TEAEs - Infusion Related Reaction (AESI).xlsx
918,2291,2291,0918_Table 301.3.2001.234.2_ Summary and Results of Severe TEAEs by Subgroups - Infusion Related Reaction (AESI).xlsx
919,2292,2292,0919_Table 301.3.2001.235.1_ Summary and Results of Severe TEAEs - Nausea (AESI).xlsx
920,2293,2293,0920_Table 301.3.2001.235.2_ Summary and Results of Severe TEAEs by Subgroups - Nausea (AESI).xlsx
921,2294,2294,0921_Table 301.3.2001.236.1_ Summary and Results of Severe TEAEs - Neutropenia (AESI).xlsx
922,2295,2295,0922_Table 301.3.2001.236.2_ Summary and Results of Severe TEAEs by Subgroups - Neutropenia (AESI).xlsx
923,2296,2296,0923_Table 301.3.2001.237.1_ Summary and Results of Severe TEAEs - Vomiting (AESI).xlsx
924,2297,2297,0924_Table 301.3.2001.237.2_ Summary and Results of Severe TEAEs by Subgroups - Vomiting (AESI).xlsx
925,2298,2298,0925_Table 301.3.2001.238.1_ Summary and Results of TESAEs - Abdominal Pain (AESI).xlsx
926,2299,2299,0926_Table 301.3.2001.238.2_ Summary and Results of TESAEs by Subgroups - Abdominal Pain (AESI).xlsx
927,2300,2300,0927_Table 301.3.2001.239.1_ Summary and Results of TESAEs - Anemia (AESI).xlsx
928,2301,2301,0928_Table 301.3.2001.239.2_ Summary and Results of TESAEs by Subgroups - Anemia (AESI).xlsx
929,2302,2302,0929_Table 301.3.2001.240.1_ Summary and Results of TESAEs - Hypersensitivity Reactions (AESI).xlsx
930,2303,2303,0930_Table 301.3.2001.240.2_ Summary and Results of TESAEs by Subgroups - Hypersensitivity Reactions (AESI).xlsx
931,2304,2304,0931_Table 301.3.2001.241.1_ Summary and Results of TESAEs - Infusion Related Reaction (AESI).xlsx
932,2305,2305,0932_Table 301.3.2001.241.2_ Summary and Results of TESAEs by Subgroups - Infusion Related Reaction (AESI).xlsx
933,2306,2306,0933_Table 301.3.2001.242.1_ Summary and Results of TESAEs - Nausea (AESI).xlsx
934,2307,2307,0934_Table 301.3.2001.242.2_ Summary and Results of TESAEs by Subgroups - Nausea (AESI).xlsx
935,2308,2308,0935_Table 301.3.2001.243.1_ Summary and Results of TESAEs - Neutropenia (AESI).xlsx
936,2309,2309,0936_Table 301.3.2001.243.2_ Summary and Results of TESAEs by Subgroups - Neutropenia (AESI).xlsx
937,2310,2310,0937_Table 301.3.2001.244.1_ Summary and Results of TESAEs - Vomiting (AESI).xlsx
938,2311,2311,0938_Table 301.3.2001.244.2_ Summary and Results of TESAEs by Subgroups - Vomiting (AESI).xlsx
939,2312,2312,0939_Table 301.3.2001.245.1_ Summary and Results of TEAEs leading to Permanent Treatment Discontinuation - Abdominal Pain (AESI).xlsx
940,2313,2313,0940_Table 301.3.2001.245.2_ Summary and Results of TEAEs leading to Permanent Treatment Discontinuation by Subgroups - Abdominal Pain (AESI).xlsx
941,2314,2314,0941_Table 301.3.2001.246.1_ Summary and Results of TEAEs leading to Permanent Treatment Discontinuation - Anemia (AESI).xlsx
942,2315,2315,0942_Table 301.3.2001.246.2_ Summary and Results of TEAEs leading to Permanent Treatment Discontinuation by Subgroups - Anemia (AESI).xlsx
943,2316,2316,0943_Table 301.3.2001.247.1_ Summary and Results of TEAEs leading to Permanent Treatment Discontinuation - Hypersensitivity Reactions (AESI).xlsx
944,2317,2317,0944_Table 301.3.2001.247.2_ Summary and Results of TEAEs leading to Permanent Treatment Discontinuation by Subgroups - Hypersensitivity Reactions (AESI).xlsx
945,2318,2318,0945_Table 301.3.2001.248.1_ Summary and Results of TEAEs leading to Permanent Treatment Discontinuation - Infusion Related Reaction (AESI).xlsx
946,2319,2319,0946_Table 301.3.2001.248.2_ Summary and Results of TEAEs leading to Permanent Treatment Discontinuation by Subgroups - Infusion Related Reaction (AESI).xlsx
947,2320,2320,0947_Table 301.3.2001.249.1_ Summary and Results of TEAEs leading to Permanent Treatment Discontinuation - Nausea (AESI).xlsx
948,2321,2321,0948_Table 301.3.2001.249.2_ Summary and Results of TEAEs leading to Permanent Treatment Discontinuation by Subgroups - Nausea (AESI).xlsx
949,2322,2322,0949_Table 301.3.2001.250.1_ Summary and Results of TEAEs leading to Permanent Treatment Discontinuation - Neutropenia (AESI).xlsx
950,2323,2323,0950_Table 301.3.2001.250.2_ Summary and Results of TEAEs leading to Permanent Treatment Discontinuation by Subgroups - Neutropenia (AESI).xlsx
951,2324,2324,0951_Table 301.3.2001.251.1_ Summary and Results of TEAEs leading to Permanent Treatment Discontinuation - Vomiting (AESI).xlsx
952,2325,2325,0952_Table 301.3.2001.251.2_ Summary and Results of TEAEs leading to Permanent Treatment Discontinuation by Subgroups - Vomiting (AESI).xlsx
953,2326,2326,0953_Table 301.3.2001.273.1_ Summary and Results of TEAEs leading to Death - Abdominal Pain (AESI).xlsx
954,2327,2327,0954_Table 301.3.2001.273.2_ Summary and Results of TEAEs leading to Death by Subgroups - Abdominal Pain (AESI).xlsx
955,2328,2328,0955_Table 301.3.2001.274.1_ Summary and Results of TEAEs leading to Death - Anemia (AESI).xlsx
956,2329,2329,0956_Table 301.3.2001.274.2_ Summary and Results of TEAEs leading to Death by Subgroups - Anemia (AESI).xlsx
957,2330,2330,0957_Table 301.3.2001.275.1_ Summary and Results of TEAEs leading to Death - Hypersensitivity Reactions (AESI).xlsx
958,2331,2331,0958_Table 301.3.2001.275.2_ Summary and Results of TEAEs leading to Death by Subgroups - Hypersensitivity Reactions (AESI).xlsx
959,2332,2332,0959_Table 301.3.2001.276.1_ Summary and Results of TEAEs leading to Death - Infusion Related Reaction (AESI).xlsx
960,2333,2333,0960_Table 301.3.2001.276.2_ Summary and Results of TEAEs leading to Death by Subgroups - Infusion Related Reaction (AESI).xlsx
961,2334,2334,0961_Table 301.3.2001.277.1_ Summary and Results of TEAEs leading to Death - Nausea (AESI).xlsx
962,2335,2335,0962_Table 301.3.2001.277.2_ Summary and Results of TEAEs leading to Death by Subgroups - Nausea (AESI).xlsx
963,2336,2336,0963_Table 301.3.2001.278.1_ Summary and Results of TEAEs leading to Death - Neutropenia (AESI).xlsx
964,2337,2337,0964_Table 301.3.2001.278.2_ Summary and Results of TEAEs leading to Death by Subgroups - Neutropenia (AESI).xlsx
965,2338,2338,0965_Table 301.3.2001.279.1_ Summary and Results of TEAEs leading to Death - Vomiting (AESI).xlsx
966,2339,2339,0966_Table 301.3.2001.279.2_ Summary and Results of TEAEs leading to Death by Subgroups - Vomiting (AESI).xlsx
967,2398,2398,0967_Table 301.3.1001.2.1_ Summary of Duration of Observation Time of Overall Survival - Full Analysis Set.xlsx
968,2399,2399,0968_Table 301.3.1001.2.2_ Summary of Duration of Observation Time of Progression-Free Survival (IRC) - Full Analysis Set.xlsx
969,2400,2400,0969_Table 301.3.1001.2.3_ Summary of Duration of Observation Time of Progression-Free Survival (INV) - Full Analysis Set.xlsx
970,2401,2401,0970_Table 301.3.3000.1_ EORTC QLQ-C30 - Summary of Duration of Observation Time - Full Analysis Set.xlsx
971,2402,2402,0971_Table 301.3.3000.2_ EORTC QLQ-OG25 - Summary of Duration of Observation Time - Full Analysis Set.xlsx
972,2403,2403,0972_Table 301.3.3000.3_ EQ-5D-5L Visual Analog Scale - Summary of Duration of Observation Time - Full Analysis Set.xlsx
973,2404,2404,0973_Table 301.3.3000.4_ Global Pain - Summary of Duration of Observation Time - Full Analysis Set.xlsx
974,2405,2405,0974_Table 301.3.2000.6.1_ Summary of Duration of Observation Time for Safety Endpoints - Safety Analysis Set.xlsx
975,2406,2406,0975_Table 301.3.2000.6.2_ Summary of Duration of Observation Time for any TEAE - Safety Analysis Set.xlsx
976,2408,2413,0976_Table 301.3.1001.5_ Summary of Concomitant Therapies - Full Analysis Set.xlsx
977,2415,2416,0977_Table 301.3.1001.6_ Summary of Study Drug Exposure - Safety Analysis Set.xlsx
978,2418,2419,0978_Table 301.3.1001.7_ Summary of Disposition of Subjects.xlsx
